book
"the great transition, nick fuller googins"
"bleach―ブリーチ― 36 [burīchi 36], tite kubo"
"shadowblack, sebastien de castell"
"once in every life, kristin hannah"
"ruthless king, meghan march"
"blyssful lies, j.c. cliff"
"the upheaval, erica stevens"
"the unfinished clue, georgette heyer"
"if your monster won't go to bed, denise vega"
"rocked under, cora hawkes"
"i can see you, karen rose"
"rubinrot, kerstin gier"
"lion of the sun, harry sidebottom"
"thirsty, jas hammonds"
"love hina, vol. 06, ken akamatsu"
"violeta, isabel allende"
"the runaway queen, cassandra clare"
"the president's brain is missing, john scalzi"
"star trek 5, james blish"
"resolute, mike shepherd"
"the sky is everywhere, jandy nelson"
"girl in pieces, kathleen glasgow"
"the return man, v.m. zito"
"memory, lois mcmaster bujold"
"21 proms, david levithan"
"quarter share, nathan lowell"
"someone to love, jude deveraux"
"when we collided, emery lord"
"the word exchange, alena graedon"
"the wager, carolyn brown"
"the quotable sandman, neil gaiman"
"flight of the fire thief, terry deary"
"the assassin and the underworld, sarah j. maas"
"vendetta, lisa harris"
"beautiful nightmares, lauren hammond"
"vegan, virgin, valentine, carolyn mackler"
"release me, j. kenner"
"lady friday, garth nix"
"sister of mine, sabra waldfogel"
"grinder, samantha whiskey"
"simple gifts, jude deveraux"
"the rogue, celeste bradley"
"the cats of ulthar, h.p. lovecraft"
"spencer cohen, book one, n.r. walker"
"love in a cold climate, nancy mitford"
"almost dead, lisa jackson"
"anything but love, beth ciotta"
"sweetbitter, stephanie danler"
"style, chelsea m. cameron"
"puss in boots, charles perrault"
"warpaint, elle casey"
"the supernatural enhancements, edgar cantero"
"such wicked intent, kenneth oppel"
"nightmare academy, frank e. peretti"
"everyone’s getting married, vol. 3, izumi miyazono"
"the song remains the same, allison winn scotch"
"the beach house, jane green"
"real americans, rachel khong"
"dragon actually, g.a. aiken"
"daughter of the empire, raymond e. feist"
"fables, vol. 22, bill willingham"
"hexed, ilona andrews"
"the sandman, vol. 7, neil gaiman"
"nightrise, anthony horowitz"
"craving, helen hardt"
"the pink hotel, anna stothard"
"fifty shames of earl grey, fanny merkin"
"the unmapped sea, maryrose wood"
"the girl who loved tom gordon, peter abrahams"
"just a bit twisted, alessandra hazard"
"don't mess with texas, christie craig"
"the final seven, erica spindler"
"indebted series 1-3, pepper winters"
"delicious, sherry thomas"
"signora della mezzanotte, cassandra clare"
"the first confessor, terry goodkind"
"the belgariad boxed set, david eddings"
"the man from primrose lane, james renner"
"strange fiction, h.g. wells"
"death, neil gaiman"
"egomaniac, vi keeland"
"blood and sand, elizabeth hunter"
"sabotaged, margaret peterson haddix"
"angels everywhere, debbie macomber"
"el color que cayó del cielo, h.p. lovecraft"
"mackenzie fire, elle casey"
"phoenix, autumn reed"
"girl on a wire, gwenda bond"
"serafina and the splintered heart, robert beatty"
"beautiful ruins, jess walter"
"the silent waters, brittainy c. cherry"
"flora and ulysses, kate dicamillo"
"black iris, leah raeder"
"the king's stilts, dr. seuss"
"inferno, larry niven"
"the promise, danielle steel"
"last light, dean koontz"
"i'm looking through you, jennifer finney boylan"
"kiss of the highlander, karen marie moning"
"looking for alaska, john green"
"drowning instinct, ilsa j. bick"
"power play, danielle steel"
"deity, jennifer l. armentrout"
"age of empyre, michael j. sullivan"
"the universe of us (volume 4), lang leav"
"killer pizza, greg taylor"
"scorch atlas, blake butler"
"no quest for the wicked, shanna swendson"
"the cleft, doris lessing"
"fallen fourth down, tijan*"
"ordinary angels, india drummond"
"smoke bitten, patricia briggs"
"the tale of squirrel nutkin, beatrix potter"
"the billionaire's obsession, j.s. scott"
"allomancer jak and the pits of eltania, brandon sanderson"
"the dead mountaineer's inn, arkady strugatsky"
"spin, c.d. reiss"
"only for him, cristin harber"
"ghosted, j.m. darhower"
"horten's incredible illusions, lissa evans"
"bliss, kathryn littlewood"
"heartless, diana palmer"
"stay, deb caletti"
"sizzle, julie garwood"
"la historia interminable, michael ende"
"strange weather, joe hill"
"winter storms, elin hilderbrand"
"love on the mend, karen witemeyer"
"song of the current, sarah tolcser"
"playing with fire, derek landy"
"megatokyo, volume 2, fred gallagher"
"breakaway, catherine gayle"
"perilous shield, jack campbell"
"white sand, volume 1, brandon sanderson"
"promised to the crown, aimie k. runyan"
"los pilares de la tierra, ken follett"
"half the world, joe abercrombie"
"come away with me, kristen proby"
"feels like family, sherryl woods"
"gold, raven kennedy"
"marrying the captain, carla kelly"
"vanished, kate brian"
"beautiful sacrifice, jamie mcguire"
"life and death, stephenie meyer"
"the talon of the hawk, jeffe kennedy"
"veils of silk, mary jo putney"
"master of shadows, angela knight"
"the wedding dance, lucy kevin"
"bad penny, staci hart"
"fantasy of frost, kelly st. clare"
"the other boy, hailey abbott"
"the boy project, kami kinard"
"clean room, vol. 1, gail simone"
"the paris wife, paula mclain"
"end of the innocence, alessandra torre"
"coraline, stephen jones"
"the number of the beast, robert a. heinlein"
"age of legend, michael j. sullivan"
"dearly depotted, kate collins"
"inverted world, christopher priest"
"farewell, dorothy parker, ellen meister"
"paper aeroplanes, dawn o'porter"
"traditional irish fairy tales, james stephens"
"secrecy, belva plain"
"en las montañas de la locura, h.p. lovecraft"
"the other wind, ursula k. le guin"
"double time, olivia cunning"
"house of suns, alastair reynolds"
"heaven, texas, susan elizabeth phillips"
"third degree, julie cross"
"double star, robert a. heinlein"
"the masque of the red death, edgar allan poe"
"that summer, lauren willig"
"seconds to live, melinda leigh"
"false sight, dan krokos"
"bloody valentine, melissa de la cruz"
"the white company, arthur conan doyle"
"the grace of kings, ken liu"
"the mouse and the motorcycle, beverly cleary"
"boyfriend material, alexis hall"
"unbreak my heart, melissa c. walker"
"sunshine, robin mckinley"
"o sangue do olimpo, rick riordan"
"first meetings in ender's universe, orson scott card"
"conspiracy in death, j.d. robb"
"going under, s. walden"
"cross my heart, carly phillips"
"foundation and earth, isaac asimov"
"gut symmetries, jeanette winterson"
"bad things, r.k. lilley"
"friends forever, danielle steel"
"sekret julii, tahereh mafi"
"the king in yellow and other horror stories, robert w. chambers"
"children of god, mary doria russell"
"the inferno, dante alighieri"
"candle in the darkness, lynn austin"
"adventures of a vegan vamp, cate lawley"
"città delle anime perdute, cassandra clare"
"six crimson cranes, elizabeth lim"
"awakened, p.c. cast"
"the wishing spell, chris colfer"
"charlie bone and the time twister, jenny nimmo"
"american front, harry turtledove"
"runaways, vol. 2, brian k. vaughan"
"bumi cinta, habiburrahman el-shirazy"
"enraptured, brenda k. davies"
"pack, jeaniene frost"
"becoming mrs. lockwood, k.i. lynn"
"it's called a breakup because it's broken, greg behrendt"
"the third kingdom, terry goodkind"
"the monster of elendhaven, jennifer giesbrecht"
"skizz, alan moore"
"what the hell did i just read, david wong"
"this calder sky, janet dailey"
"chthon, piers anthony"
"the curse of the wendigo, rick yancey"
"how to tame a beast in seven days, kerrelyn sparks"
"the wise woman, philippa gregory"
"i flipping love you, helena hunting"
"desire unchained, larissa ione"
"loving a lost lord, mary jo putney"
"wings of the wind, connilyn cossette"
"kits, faith hunter"
"il dottor živago, boris pasternak"
"the wolf of kisimul castle, heather mccollum"
"under the greenwood tree, thomas hardy"
"dangerous hearts, k.k. allen"
"the wicked + the divine, vol. 3, kieron gillen"
"abe sapien, vol. 1, mike mignola"
"brothers in blue, jeanne st. james"
"bizenghast, volume 2, m. alice legrow"
"1932, karen m. cox"
"the separation, dinah jefferies"
"the emperor's blades, brian staveley"
"the strike at shayol ghul, robert jordan"
"wild things, chloe neill"
"strong female protagonist, brennan lee mulligan"
"the life of the world to come, kage baker"
"dubious, charmaine pauls"
"steelheart, brandon sanderson"
"enchanter, sara douglass"
"thank you for listening, julia whelan"
"tapestry of fortunes, elizabeth berg"
"if i have a wicked stepmother, where's my prince?, melissa kantor"
"the ever after of ella and micha, jessica sorensen"
"to the nines, janet evanovich"
"bay of sighs, nora roberts"
"raven's gate, anthony horowitz"
"rocket ship galileo, robert a. heinlein"
"eden close, anita shreve"
"kindred, octavia e. butler"
"halo, william c. dietz"
"star wars, patricia c. wrede"
"pyramids, terry pratchett"
"lost in time, melissa de la cruz"
"tempting the best man, j. lynn"
"shadow and bone, leigh bardugo"
"daughter of smoke & bone, laini taylor"
"to win her heart, karen witemeyer"
"invincible, vol. 13, robert kirkman"
"once we were, kat zhang"
"ash princess, laura sebastian"
"it ended badly, jennifer wright"
"the sword of shannara trilogy, terry brooks"
"cocktails for three, madeleine wickham"
"the ones we're meant to find, joan he"
"bed of roses, nora roberts"
"no time for mourning, franklin horton"
"after the party, lisa jewell"
"signal to noise, silvia moreno-garcia"
"euphoria, elle casey"
"holme for the holidays, miranda macleod"
"ashes to ashes, karina halle"
"the lark and the wren, mercedes lackey"
"sign of the unicorn, roger zelazny"
"unquiet dreams, mark del franco"
"daisy jones & the six, taylor jenkins reid"
"dark breaks the dawn, sara b. larson"
"heart of obsidian, nalini singh"
"double the heat, lori foster"
"the pride of lions, marsha canham"
"resisting mateo, sam mariano"
"forsaken, jana oliver"
"suddenly last summer, sarah morgan"
"judgement in death, j.d. robb"
"to love again, danielle steel"
"rock hard, olivia cunning"
"queen song, victoria aveyard"
"shattered peace, erin hunter"
"la tempestad, william shakespeare"
"a feast of dragons, morgan rice"
"de kommer att drunkna i sina mödrars tårar, johannes anyuru"
"marine for hire, tawna fenske"
"fall to pieces, chloe walsh"
"when breaks the dawn, janette oke"
"swamplandia!, karen russell"
"avalon high, meg cabot"
"night music, jojo moyes"
"lies, damned lies, and history, jodi taylor"
"the museum of intangible things, wendy wunder"
"harry potter y la cámara secreta, j.k. rowling"
"the crown of ptolemy, rick riordan"
"the mirror of her dreams, stephen r. donaldson"
"area 51, robert doherty"
"a stone in the sea, a.l. jackson"
"tess of the road, rachel hartman"
"the divine invasion, philip k. dick"
"scarlet angel, s.t. abby"
"the atlas six, olivie blake"
"jenna & jonah's fauxmance, emily franklin"
"watch over me, tara sivec"
"conspirator, c.j. cherryh"
"phasma, delilah s. dawson"
"turbulent waters, melody anne"
"grass for his pillow, lian hearn"
"thankless in death, j.d. robb"
"second grave on the left, darynda jones"
"ode to kirihito, osamu tezuka"
"in der todeszone, james dashner"
"his princess, alexa riley"
"sweet rome, tillie cole"
"devil may care, elizabeth peters"
"just like heaven, julia quinn"
"all played out, cora carmack"
"the summer i dared, barbara delinsky"
"gideon the ninth, tamsyn muir"
"leaf by niggle, j.r.r. tolkien"
"colters' woman, maya banks"
"undone, rachel caine"
"invictus, ryan graudin"
"archangel's storm, nalini singh"
"bleach, volume 18, tite kubo"
"ties, domenico starnone"
"one piece, volume 27, eiichiro oda"
"secrets of a side bitch, jessica n. watkins"
"el amante de lady chatterley, d.h. lawrence"
"our souls at night, kent haruf"
"thumbelina, brad sneed"
"matchmaker, lauren landish"
"fake blood, whitney gardner"
"the never-open desert diner, james anderson"
"the aeronaut's windlass, jim butcher"
"the conqueror, brenda joyce"
"why we broke up, daniel handler"
"slightly settled, wendy markham"
"contagious, scott sigler"
"sorcerers of the nightwing, geoffrey huntington"
"light from uncommon stars, ryka aoki"
"winterling, sarah prineas"
"newly exposed, meghan quinn"
"planeta małp, pierre boulle"
"double standards, judith mcnaught"
"only my love, jo goodman"
"the indigo girl, natasha boyd"
"the memory book, lara avery"
"critical instinct, janie crouch"
"bramble burn, autumn dawn"
"cat on the edge, shirley rousseau murphy"
"the tale of benjamin bunny, beatrix potter"
"shine not burn, elle casey"
"the shore, sara taylor"
"three parts dead, max gladstone"
"stargirl, jerry spinelli"
"the black wolf, j.a. redmerski"
"life on mars, tracy k. smith"
"vicious circle, mike carey"
"palomino, danielle steel"
"saints and misfits, s.k. ali"
"a sick day for amos mcgee, philip c. stead"
"harry potter and the half-blood prince, j.k. rowling"
"the last will of moira leahy, therese walsh"
"flowers in the rain and other stories, rosamunde pilcher"
"metro 2034, dmitry glukhovsky"
"defiant, brandon sanderson"
"take the key and lock her up, ally carter"
"the lathe of heaven, ursula k. le guin"
"planet of exile, ursula k. le guin"
"love by the book, melissa pimentel"
"triangles, ellen hopkins"
"devil's desire, laurie mcbain"
"easy kisses, kristen proby"
"valiant, laurann dohner"
"artemis fowl boxed set, bks 1-5, eoin colfer"
"christmas on candy cane lane, sheila roberts"
"dairy queen, catherine gilbert murdock"
"zoo, james patterson"
"black arts, faith hunter"
"the atlantis world, a.g. riddle"
"beach house memories, mary alice monroe"
"cast in courtlight, michelle sagara"
"this mortal coil, emily suvada"
"the death of the heart, elizabeth bowen"
"l'instant présent, guillaume musso"
"what could possibly go wrong?, jodi taylor"
"eternal rider, larissa ione"
"witch week, diana wynne jones"
"deathfire, nick kyme"
"voices, ursula k. le guin"
"love letters, katie fforde"
"seven sons, lili st. germain"
"the play, karina halle"
"secrets of the lost summer, carla neggers"
"vampire knight, vol. 1, matsuri hino"
"planetary, volume 1, warren ellis"
"the final trade, joe hart"
"the witch of painted sorrows, m.j. rose"
"iron man, peter david"
"bruiser, neal shusterman"
"the birds & the bees, milly johnson"
"moxie, jennifer mathieu"
"the time traveler's boyfriend, annabelle costa"
"the courts of chaos, roger zelazny"
"defying her mafioso, terri anne browning"
"pfitz, andrew crumey"
"brain ships, anne mccaffrey"
"the boundless, kenneth oppel"
"blackberry pie murder, joanne fluke"
